Show,Total Boletos,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,TipoShow,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show
LIBERTAD FC VS Emelec SC,6,PREVENTA ,AppExterna,0,1,Talleres,Febrero,Domingo,Mañana,Mayo,Lunes,Mañana
Ibarra Fight League,6,INSCRIPCIÓN DIGITAL,Wallet,0,0,Teatro,Febrero,Domingo,Tarde,Septiembre,Viernes,Noche
Los peces no vuelan,5,SALA 1 2D,AppExterna,1,1,Talleres,Febrero,Sábado,Noche,Marzo,Sábado,Noche
Libertad Vs U Catolica,4,VIP,Wallet,0,1,Talleres,Febrero,Sábado,Mañana,Agosto,Miércoles,Mañana
MOANA 2,6,PALCO,Wallet,0,1,Donación,Febrero,Sábado,Mañana,Mayo,Lunes,Tarde
Los peces no vuelan,6,Golden Box,PayPhone,0,0,Otro,Febrero,Sábado,Mañana,Junio,Lunes,Tarde
El After de las Artes Vivas,3,GENERAL,PayPhone,1,0,Cine,Febrero,Lunes,Mañana,Noviembre,Martes,Mañana
TARDE CLIPP,1,INSCRIPCIÓN DIGITAL,PayPhone,1,1,Teatro,Febrero,Miércoles,Tarde,Febrero,Martes,Noche
Libertad Vs U Catolica,4,TRIBUNA NORTE,Wallet,0,1,Cine,Febrero,Domingo,Mañana,Abril,Martes,Mañana
Mujer de Piedra,3,PLATINUM,PayPhone,0,1,Cine,Febrero,Jueves,Noche,Septiembre,Viernes,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,6,SALA 1 3D,PayPhone,0,1,Teatro,Febrero,Domingo,Mañana,Febrero,Martes,Tarde
Libertad Vs U Catolica,4,FUNCIÓN 3,PayPhone,1,1,Concierto,Febrero,Lunes,Noche,Septiembre,Martes,Noche
RALLY PROVINCIA DE LOJA,9,FUNCIÓN 2,AppExterna,1,0,Donación,Febrero,Sábado,Tarde,Junio,Lunes,Mañana
MOANA 2,2,SALA 1 2D,PayPhone,0,0,Teatro,Febrero,Jueves,Tarde,Octubre,Miércoles,Mañana
San Juanes Santa Rosa del Tejar,5,PALCO,AppExterna,0,1,Concierto,Febrero,Sábado,Mañana,Octubre,Martes,Tarde
A pebble falling on a silent lake,9,INSCRIPCIÓN DIGITAL,Wallet,0,1,Talleres,Febrero,Domingo,Noche,Junio,Lunes,Tarde
MOANA 2,1,CORTESÍAS VIP,PayPhone,1,0,Talleres,Febrero,Jueves,Mañana,Noviembre,Miércoles,Noche
DESAYUNO EMPRESARIAL,5,BOLETO SOLIDARIO,Wallet,0,1,Talleres,Febrero,Domingo,Mañana,Julio,Viernes,Mañana
San Juanes Santa Rosa del Tejar,8,PLATEA MEDIA,Wallet,1,0,Concierto,Febrero,Miércoles,Tarde,Septiembre,Domingo,Mañana
Mujer de Piedra,6,TRIBUNA SUR,AppExterna,1,0,Ferias,Febrero,Lunes,Tarde,Febrero,Jueves,Mañana
JORGE GUZMAN VS BARCELONA,9,PREFERENCIA,AppExterna,1,0,Cine,Febrero,Domingo,Noche,Abril,Martes,Mañana
El viaje de la Santa,9,CORTESÍAS GOLDEN,AppExterna,1,0,Ferias,Febrero,Sábado,Mañana,Febrero,Miércoles,Tarde
A pebble falling on a silent lake,6,SALA 1 3D,PayPhone,0,1,Ferias,Febrero,Sábado,Mañana,Marzo,Martes,Tarde
El viaje de la Santa,1,Adhesiones,PayPhone,0,1,Deporte,Febrero,Lunes,Mañana,Mayo,Jueves,Noche
MOANA 2,4,FUNCIÓN 1,Wallet,0,0,Concierto,Febrero,Sábado,Mañana,Diciembre,Martes,Mañana
El viaje de la Santa,8,BOLETO SOLIDARIO,Wallet,1,0,Cine,Febrero,Sábado,Noche,Octubre,Sábado,Noche
El After de las Artes Vivas,3,BOLETO SOLIDARIO,PayPhone,0,1,Concierto,Febrero,Domingo,Tarde,Julio,Jueves,Tarde
JORGE GUZMAN VS BARCELONA,5,SALA 1 2D,Wallet,1,0,Cine,Febrero,Miércoles,Tarde,Junio,Miércoles,Tarde
28ava Asamblea Nacional,1,BOLETO PALCO,Wallet,1,0,Teatro,Febrero,Miércoles,Tarde,Febrero,Miércoles,Mañana
MOANA 2,5,PALCO,PayPhone,1,1,Concierto,Febrero,Miércoles,Noche,Octubre,Miércoles,Noche
Libertad Vs U Catolica,4,Golden Box,AppExterna,0,1,Cine,Febrero,Lunes,Noche,Diciembre,Jueves,Mañana
ALZATE,5,FUNCIÓN 1,PayPhone,1,0,Cine,Febrero,Sábado,Mañana,Junio,Sábado,Mañana
La Inocente,6,FUNCIÓN 2,Wallet,1,0,Concierto,Febrero,Sábado,Mañana,Septiembre,Martes,Mañana
Mujer de Piedra,8,CORTESÍAS,Wallet,0,0,Donación,Febrero,Sábado,Noche,Agosto,Miércoles,Mañana
DESAYUNO EMPRESARIAL,7,VIP,PayPhone,1,0,Talleres,Febrero,Jueves,Noche,Mayo,Domingo,Mañana
ALZATE,5,CORTESÍAS GOLDEN,Wallet,0,0,Deporte,Febrero,Domingo,Tarde,Agosto,Domingo,Tarde
MOANA 2,9,PLATEA MEDIA,PayPhone,0,0,Donación,Febrero,Sábado,Tarde,Mayo,Domingo,Mañana
San Juanes Santa Rosa del Tejar,7,CORTESÍAS VIP,AppExterna,1,0,Concierto,Febrero,Domingo,Tarde,Septiembre,Jueves,Tarde
JORGE GUZMAN VS BARCELONA,7,TRIBUNA SUR,PayPhone,0,1,Deporte,Febrero,Domingo,Tarde,Noviembre,Sábado,Tarde
RALLY PROVINCIA DE LOJA,8,CORTESÍAS VIP,AppExterna,0,0,Donación,Febrero,Miércoles,Noche,Octubre,Miércoles,Tarde
LIBERTAD FC VS Emelec SC,9,FUNCIÓN 2,Wallet,1,0,Teatro,Febrero,Jueves,Noche,Octubre,Jueves,Mañana
DESAYUNO EMPRESARIAL,4,SALA 1 2D,PayPhone,1,0,Deporte,Febrero,Domingo,Noche,Septiembre,Sábado,Mañana
RALLY PROVINCIA DE LOJA,7,INSCRIPCIÓN DIGITAL,PayPhone,0,1,Concierto,Febrero,Lunes,Mañana,Julio,Jueves,Tarde
El viaje de la Santa,4,BOLETO GENERAL,Wallet,0,0,Talleres,Febrero,Domingo,Noche,Abril,Lunes,Mañana
El viaje de la Santa,4,GENERAL,Wallet,1,1,Donación,Febrero,Miércoles,Mañana,Abril,Jueves,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,8,PREVENTA ,AppExterna,0,0,Cine,Febrero,Lunes,Noche,Diciembre,Jueves,Tarde
El After de las Artes Vivas,5,Golden Box,AppExterna,1,0,Donación,Febrero,Jueves,Tarde,Abril,Sábado,Mañana
A pebble falling on a silent lake,9,GOLDEN,Wallet,0,0,Deporte,Febrero,Lunes,Tarde,Octubre,Viernes,Noche
La Inocente,7,PREFERENCIA,PayPhone,0,1,Concierto,Febrero,Sábado,Tarde,Julio,Lunes,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,3,FUNCIÓN 2,AppExterna,1,1,Donación,Febrero,Miércoles,Noche,Marzo,Sábado,Tarde
La Inocente,2,SALA 1 2D,Wallet,0,1,Deporte,Febrero,Jueves,Tarde,Noviembre,Jueves,Noche
TARDE CLIPP,4,FUNCIÓN 3,Wallet,1,1,Cine,Febrero,Sábado,Noche,Febrero,Miércoles,Noche
CAPACITACION FERIA,7,TRIBUNA NORTE,Wallet,0,0,Deporte,Febrero,Miércoles,Noche,Octubre,Viernes,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,6,CORTESÍAS,AppExterna,1,1,Deporte,Febrero,Sábado,Noche,Abril,Sábado,Tarde
San Juanes Santa Rosa del Tejar,8,SALA 1 3D,Wallet,0,0,Ferias,Febrero,Lunes,Noche,Septiembre,Sábado,Noche
Los peces no vuelan,8,SALA 3,Wallet,0,1,Teatro,Febrero,Domingo,Mañana,Mayo,Sábado,Tarde
JORGE GUZMAN VS BARCELONA,4,BOLETO PALCO,AppExterna,0,1,Otro,Febrero,Miércoles,Mañana,Mayo,Miércoles,Noche
MOANA 2,5,BOLETO PALCO,PayPhone,1,1,Talleres,Febrero,Sábado,Mañana,Marzo,Sábado,Noche
TARDE CLIPP,9,Golden Box,AppExterna,0,1,Otro,Febrero,Lunes,Noche,Septiembre,Miércoles,Tarde
Ibarra Fight League,9,SALA 2,AppExterna,0,1,Cine,Febrero,Miércoles,Mañana,Mayo,Viernes,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,7,SILLAS DIGITAL,Wallet,1,1,Donación,Febrero,Miércoles,Tarde,Mayo,Lunes,Tarde
Libertad Vs U Catolica,5,GENERAL,AppExterna,1,1,Deporte,Febrero,Jueves,Mañana,Noviembre,Viernes,Mañana
TARDE CLIPP,3,SALA 1 2D,PayPhone,0,1,Donación,Febrero,Miércoles,Mañana,Abril,Martes,Tarde
DESAYUNO EMPRESARIAL,6,TRIBUNA NORTE,AppExterna,0,1,Teatro,Febrero,Miércoles,Noche,Mayo,Lunes,Noche
Mujer de Piedra,2,BOLETO PALCO,PayPhone,1,1,Deporte,Febrero,Domingo,Mañana,Noviembre,Domingo,Mañana
FESTIVAL DE LA CHICHA,9,SALA 2,Wallet,0,0,Teatro,Febrero,Lunes,Noche,Junio,Lunes,Noche
FESTIVAL DE LA CHICHA,5,PREVENTA ,Wallet,0,1,Teatro,Febrero,Jueves,Noche,Agosto,Sábado,Mañana
JORGE GUZMAN VS BARCELONA,8,FUNCIÓN 3,AppExterna,1,1,Ferias,Febrero,Miércoles,Noche,Abril,Martes,Tarde
Mujer de Piedra,9,GOLDEN,AppExterna,1,0,Cine,Febrero,Miércoles,Mañana,Octubre,Miércoles,Mañana
Ibarra Fight League,3,PLATEA MEDIA,Wallet,0,0,Talleres,Febrero,Jueves,Noche,Junio,Jueves,Noche
ALZATE,1,PRESIDENTES,PayPhone,0,1,Deporte,Febrero,Jueves,Mañana,Septiembre,Martes,Noche
El After de las Artes Vivas,5,SALA 2,PayPhone,1,1,Otro,Febrero,Domingo,Mañana,Julio,Jueves,Mañana
La Inocente,3,INSCRIPCIÓN DIGITAL,AppExterna,1,0,Ferias,Febrero,Miércoles,Tarde,Octubre,Martes,Mañana
Ibarra Fight League,1,PLATEA BAJA,Wallet,0,0,Talleres,Febrero,Sábado,Mañana,Febrero,Lunes,Noche
MOANA 2,5,PLATEA BAJA,AppExterna,0,1,Donación,Febrero,Miércoles,Mañana,Abril,Jueves,Noche
CAPACITACION FERIA,8,VENTA OFICIAL,PayPhone,0,1,Ferias,Febrero,Lunes,Mañana,Noviembre,Lunes,Mañana
La Inocente,1,TRIBUNA SUR,PayPhone,1,1,Cine,Febrero,Domingo,Noche,Marzo,Jueves,Mañana
28ava Asamblea Nacional,8,GENERAL,PayPhone,1,0,Talleres,Febrero,Lunes,Tarde,Junio,Miércoles,Mañana
Ibarra Fight League,1,VIP,Wallet,1,0,Deporte,Febrero,Domingo,Mañana,Julio,Martes,Mañana
ALZATE,1,GENERAL,Wallet,0,0,Cine,Febrero,Domingo,Mañana,Septiembre,Sábado,Tarde
DESAYUNO EMPRESARIAL,5,VENTA OFICIAL,PayPhone,0,0,Talleres,Febrero,Domingo,Tarde,Abril,Domingo,Tarde
San Juanes Santa Rosa del Tejar,3,PALCO,PayPhone,0,0,Concierto,Febrero,Jueves,Noche,Mayo,Domingo,Tarde
Mujer de Piedra,5,SALA 1 2D,PayPhone,1,1,Deporte,Febrero,Lunes,Tarde,Octubre,Domingo,Mañana
DESAYUNO EMPRESARIAL,8,PALCO,Wallet,0,0,Concierto,Febrero,Lunes,Noche,Abril,Lunes,Tarde
San Juanes Santa Rosa del Tejar,4,PLATEA BAJA,PayPhone,0,1,Deporte,Febrero,Sábado,Noche,Octubre,Sábado,Mañana
Mujer de Piedra,7,TRIBUNA NORTE,Wallet,0,1,Concierto,Febrero,Lunes,Mañana,Noviembre,Miércoles,Noche
La Inocente,6,SALA 1 2D,Wallet,0,1,Donación,Febrero,Miércoles,Tarde,Octubre,Lunes,Tarde
LIBERTAD FC VS Emelec SC,4,SALA 1 3D,PayPhone,1,0,Ferias,Febrero,Sábado,Tarde,Octubre,Martes,Mañana
La Inocente,1,PLATINUM,PayPhone,0,1,Concierto,Febrero,Domingo,Mañana,Junio,Miércoles,Mañana
CAPACITACION FERIA,7,SALA 2,PayPhone,1,1,Deporte,Febrero,Sábado,Mañana,Diciembre,Sábado,Noche
LIBERTAD FC VS Emelec SC,1,VIP,AppExterna,1,0,Ferias,Febrero,Lunes,Tarde,Octubre,Lunes,Noche
La Inocente,7,PLATEA BAJA,PayPhone,0,1,Teatro,Febrero,Jueves,Mañana,Junio,Domingo,Noche
ALZATE,2,FUNCIÓN 1,PayPhone,0,1,Ferias,Febrero,Domingo,Mañana,Abril,Sábado,Tarde
La Inocente,5,BOLETO SOLIDARIO,Wallet,1,1,Teatro,Febrero,Sábado,Noche,Octubre,Lunes,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,8,SALA 3,Wallet,0,0,Concierto,Febrero,Sábado,Mañana,Junio,Viernes,Mañana
Ibarra Fight League,8,BOLETO GENERAL,PayPhone,0,1,Cine,Febrero,Miércoles,Noche,Agosto,Sábado,Tarde
DESAYUNO EMPRESARIAL,8,FUNCIÓN 1,PayPhone,1,0,Ferias,Febrero,Jueves,Mañana,Diciembre,Viernes,Tarde
TARDE CLIPP,1,INSCRIPCIÓN DIGITAL,PayPhone,0,1,Cine,Febrero,Miércoles,Tarde,Mayo,Martes,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,5,PLATEA MEDIA,AppExterna,1,1,Otro,Febrero,Lunes,Tarde,Febrero,Sábado,Noche
La Inocente,7,GENERAL,AppExterna,1,1,Deporte,Febrero,Jueves,Tarde,Septiembre,Lunes,Noche
Libertad Vs U Catolica,6,Adhesiones,AppExterna,0,0,Teatro,Febrero,Sábado,Noche,Septiembre,Martes,Noche
Libertad Vs U Catolica,1,Adhesiones,PayPhone,1,1,Cine,Febrero,Jueves,Tarde,Abril,Lunes,Tarde
FESTIVAL DE LA CHICHA,5,SALA 3,Wallet,1,1,Otro,Febrero,Jueves,Tarde,Septiembre,Miércoles,Mañana
Libertad Vs U Catolica,9,GOLDEN,PayPhone,0,0,Cine,Febrero,Lunes,Mañana,Julio,Domingo,Mañana
Ibarra Fight League,5,VIP,Wallet,1,1,Teatro,Febrero,Jueves,Mañana,Septiembre,Miércoles,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,5,VIP,PayPhone,0,0,Deporte,Febrero,Miércoles,Mañana,Diciembre,Viernes,Tarde
Libertad Vs U Catolica,1,GENERAL,Wallet,1,1,Talleres,Febrero,Jueves,Mañana,Julio,Domingo,Tarde
DESAYUNO EMPRESARIAL,4,BOLETO SOLIDARIO,AppExterna,0,0,Otro,Febrero,Domingo,Tarde,Septiembre,Miércoles,Mañana
RALLY PROVINCIA DE LOJA,9,BOLETO GENERAL,PayPhone,1,1,Otro,Febrero,Sábado,Tarde,Julio,Lunes,Tarde
Libertad Vs U Catolica,6,PLATEA BAJA,PayPhone,0,1,Concierto,Febrero,Sábado,Tarde,Septiembre,Sábado,Mañana
RALLY PROVINCIA DE LOJA,6,GENERAL,AppExterna,1,0,Ferias,Febrero,Jueves,Mañana,Febrero,Domingo,Tarde
28ava Asamblea Nacional,3,VENTA OFICIAL,Wallet,1,1,Ferias,Febrero,Domingo,Tarde,Diciembre,Sábado,Noche
DESAYUNO EMPRESARIAL,3,TRIBUNA NORTE,AppExterna,1,1,Donación,Febrero,Sábado,Tarde,Julio,Viernes,Mañana
Mujer de Piedra,5,CORTESÍAS VIP,Wallet,1,1,Donación,Febrero,Sábado,Mañana,Febrero,Jueves,Noche
El viaje de la Santa,5,GOLDEN,Wallet,0,1,Concierto,Febrero,Miércoles,Noche,Agosto,Martes,Tarde
El viaje de la Santa,9,PLATEA ALTA,AppExterna,0,1,Concierto,Febrero,Miércoles,Noche,Marzo,Martes,Mañana
A pebble falling on a silent lake,7,CORTESÍAS GOLDEN,AppExterna,0,1,Concierto,Febrero,Domingo,Noche,Febrero,Viernes,Mañana
San Juanes Santa Rosa del Tejar,8,BOLETO GENERAL,PayPhone,0,0,Deporte,Febrero,Sábado,Mañana,Noviembre,Jueves,Tarde
Libertad Vs U Catolica,8,PREFERENCIA,PayPhone,0,1,Talleres,Febrero,Miércoles,Noche,Julio,Sábado,Mañana
La Inocente,1,PREVENTA ,Wallet,0,1,Ferias,Febrero,Sábado,Tarde,Mayo,Lunes,Mañana
LIBERTAD FC VS Emelec SC,8,PREVENTA ,PayPhone,1,1,Talleres,Febrero,Jueves,Tarde,Junio,Lunes,Tarde
DESAYUNO EMPRESARIAL,3,PREFERENCIA,PayPhone,1,1,Ferias,Febrero,Jueves,Tarde,Agosto,Sábado,Noche
MOANA 2,6,PREVENTA ,Wallet,0,1,Otro,Febrero,Miércoles,Mañana,Noviembre,Jueves,Mañana
DESAYUNO EMPRESARIAL,8,PLATINUM,PayPhone,1,1,Donación,Febrero,Lunes,Noche,Diciembre,Miércoles,Tarde
28ava Asamblea Nacional,7,PREFERENCIA,Wallet,1,0,Talleres,Febrero,Sábado,Tarde,Septiembre,Domingo,Mañana
A pebble falling on a silent lake,8,Golden Box,PayPhone,1,0,Ferias,Febrero,Miércoles,Noche,Agosto,Miércoles,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,5,SALA 1 3D,PayPhone,0,0,Donación,Febrero,Jueves,Mañana,Julio,Sábado,Tarde
Los peces no vuelan,3,Adhesiones,Wallet,0,1,Otro,Febrero,Lunes,Mañana,Julio,Lunes,Mañana
MOANA 2,3,CORTESÍAS GOLDEN,PayPhone,1,1,Talleres,Febrero,Sábado,Mañana,Abril,Jueves,Tarde
RALLY PROVINCIA DE LOJA,4,SALA 2,Wallet,1,1,Talleres,Febrero,Sábado,Mañana,Mayo,Sábado,Tarde
Ibarra Fight League,5,CORTESÍAS GOLDEN,PayPhone,0,0,Cine,Febrero,Sábado,Mañana,Marzo,Lunes,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,3,Adhesiones,AppExterna,1,0,Talleres,Febrero,Miércoles,Tarde,Septiembre,Domingo,Tarde
A pebble falling on a silent lake,7,PRESIDENTES,AppExterna,0,1,Ferias,Febrero,Lunes,Noche,Febrero,Jueves,Tarde
A pebble falling on a silent lake,4,SALA 3,Wallet,1,1,Talleres,Febrero,Jueves,Tarde,Diciembre,Martes,Mañana
CAPACITACION FERIA,1,INSCRIPCIÓN DIGITAL,Wallet,1,1,Ferias,Febrero,Domingo,Mañana,Septiembre,Domingo,Mañana
Los peces no vuelan,4,VENTA OFICIAL,Wallet,1,0,Ferias,Febrero,Jueves,Mañana,Noviembre,Martes,Mañana
Ibarra Fight League,3,PLATEA MEDIA,AppExterna,1,0,Ferias,Febrero,Jueves,Noche,Junio,Lunes,Tarde
Libertad Vs U Catolica,7,Adhesiones,AppExterna,0,0,Donación,Febrero,Domingo,Tarde,Junio,Jueves,Mañana
CAPACITACION FERIA,3,BOLETO GENERAL,Wallet,0,0,Ferias,Febrero,Domingo,Mañana,Abril,Martes,Noche
El viaje de la Santa,3,TRIBUNA NORTE,PayPhone,1,0,Ferias,Febrero,Jueves,Tarde,Febrero,Martes,Noche
El After de las Artes Vivas,9,SALA 2,Wallet,0,0,Talleres,Febrero,Lunes,Tarde,Julio,Sábado,Tarde
ALZATE,2,PRESIDENTES,PayPhone,0,1,Cine,Febrero,Sábado,Noche,Julio,Jueves,Mañana
La Inocente,6,VIP,PayPhone,1,1,Otro,Febrero,Lunes,Noche,Mayo,Miércoles,Tarde
La Inocente,9,INSCRIPCIÓN DIGITAL,Wallet,1,0,Talleres,Febrero,Miércoles,Noche,Agosto,Viernes,Tarde
CAPACITACION FERIA,6,SALA 3,AppExterna,0,0,Talleres,Febrero,Sábado,Noche,Noviembre,Jueves,Tarde
MOANA 2,8,VENTA OFICIAL,AppExterna,1,0,Concierto,Febrero,Lunes,Tarde,Mayo,Martes,Noche
Mujer de Piedra,8,PLATEA BAJA,AppExterna,0,1,Concierto,Febrero,Sábado,Noche,Abril,Jueves,Noche
El After de las Artes Vivas,8,Adhesiones,PayPhone,1,0,Deporte,Febrero,Miércoles,Mañana,Mayo,Domingo,Mañana
DESAYUNO EMPRESARIAL,5,PREFERENCIA,PayPhone,1,0,Donación,Febrero,Sábado,Mañana,Julio,Viernes,Mañana
28ava Asamblea Nacional,1,VENTA OFICIAL,PayPhone,0,1,Otro,Febrero,Sábado,Tarde,Marzo,Martes,Noche
RALLY PROVINCIA DE LOJA,2,SALA 1 3D,AppExterna,0,0,Talleres,Febrero,Sábado,Mañana,Abril,Martes,Tarde
MOANA 2,1,SALA 3,PayPhone,0,1,Concierto,Febrero,Miércoles,Noche,Mayo,Domingo,Noche
LIBERTAD FC VS Emelec SC,1,TRIBUNA SUR,AppExterna,1,0,Teatro,Febrero,Sábado,Noche,Septiembre,Martes,Tarde
DESAYUNO EMPRESARIAL,6,GOLDEN,Wallet,0,1,Otro,Febrero,Domingo,Mañana,Noviembre,Jueves,Noche
RALLY PROVINCIA DE LOJA,3,PLATEA MEDIA,PayPhone,1,1,Deporte,Febrero,Lunes,Noche,Mayo,Lunes,Tarde
Libertad Vs U Catolica,7,PALCO,AppExterna,0,1,Cine,Febrero,Lunes,Mañana,Octubre,Martes,Tarde
DESAYUNO EMPRESARIAL,2,TRIBUNA NORTE,PayPhone,1,0,Concierto,Febrero,Jueves,Tarde,Mayo,Jueves,Noche
El viaje de la Santa,8,SALA 2,Wallet,1,1,Ferias,Febrero,Domingo,Mañana,Agosto,Martes,Mañana
MOANA 2,6,VENTA OFICIAL,Wallet,0,1,Deporte,Febrero,Lunes,Noche,Noviembre,Jueves,Noche
FESTIVAL DE LA CHICHA,6,CORTESÍAS GOLDEN,AppExterna,0,0,Teatro,Febrero,Sábado,Mañana,Marzo,Jueves,Tarde
JORGE GUZMAN VS BARCELONA,9,PLATEA ALTA,PayPhone,0,0,Donación,Febrero,Miércoles,Tarde,Octubre,Viernes,Noche
A pebble falling on a silent lake,3,CORTESÍAS VIP,PayPhone,1,0,Cine,Febrero,Jueves,Tarde,Noviembre,Domingo,Mañana
CAPACITACION FERIA,9,PRESIDENTES,Wallet,1,1,Deporte,Febrero,Jueves,Mañana,Julio,Miércoles,Noche
TARDE CLIPP,6,INSCRIPCIÓN DIGITAL,AppExterna,0,1,Otro,Febrero,Sábado,Noche,Julio,Sábado,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,7,TRIBUNA NORTE,Wallet,1,1,Donación,Febrero,Sábado,Tarde,Febrero,Viernes,Noche
LIBERTAD FC VS Emelec SC,1,PLATINUM,PayPhone,1,1,Ferias,Febrero,Jueves,Tarde,Mayo,Sábado,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,3,PLATEA MEDIA,PayPhone,1,1,Deporte,Febrero,Miércoles,Mañana,Febrero,Viernes,Noche
El After de las Artes Vivas,9,SALA 2,PayPhone,1,0,Talleres,Febrero,Sábado,Noche,Julio,Jueves,Tarde
TARDE CLIPP,1,PLATINUM,Wallet,0,1,Concierto,Febrero,Sábado,Mañana,Febrero,Jueves,Mañana
Mujer de Piedra,9,TRIBUNA SUR,PayPhone,0,1,Talleres,Febrero,Miércoles,Mañana,Julio,Martes,Tarde
28ava Asamblea Nacional,8,PLATINUM,AppExterna,0,0,Concierto,Febrero,Jueves,Mañana,Junio,Viernes,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,3,VIP,Wallet,1,1,Concierto,Febrero,Domingo,Tarde,Abril,Viernes,Mañana
El viaje de la Santa,9,VENTA OFICIAL,AppExterna,1,1,Cine,Febrero,Miércoles,Mañana,Octubre,Sábado,Mañana
El After de las Artes Vivas,9,FUNCIÓN 1,AppExterna,1,0,Teatro,Febrero,Jueves,Noche,Agosto,Jueves,Tarde
CAPACITACION FERIA,7,Adhesiones,AppExterna,0,1,Otro,Febrero,Sábado,Noche,Octubre,Martes,Tarde
JORGE GUZMAN VS BARCELONA,5,TRIBUNA SUR,PayPhone,0,0,Deporte,Febrero,Miércoles,Noche,Agosto,Viernes,Mañana
ALZATE,7,Golden Box,PayPhone,1,1,Concierto,Febrero,Domingo,Noche,Abril,Sábado,Noche
28ava Asamblea Nacional,3,PLATINUM,AppExterna,1,0,Cine,Febrero,Domingo,Tarde,Junio,Sábado,Tarde
A pebble falling on a silent lake,5,CORTESÍAS GOLDEN,Wallet,0,0,Concierto,Febrero,Miércoles,Tarde,Marzo,Martes,Noche
Mujer de Piedra,9,GOLDEN,Wallet,1,0,Teatro,Febrero,Sábado,Tarde,Octubre,Martes,Mañana
Mujer de Piedra,9,PLATEA BAJA,PayPhone,0,0,Talleres,Febrero,Sábado,Tarde,Agosto,Domingo,Tarde
RALLY PROVINCIA DE LOJA,8,FUNCIÓN 2,Wallet,1,0,Teatro,Febrero,Sábado,Tarde,Noviembre,Domingo,Noche
28ava Asamblea Nacional,4,PREVENTA ,Wallet,1,0,Cine,Febrero,Jueves,Noche,Julio,Viernes,Tarde
San Juanes Santa Rosa del Tejar,8,BOLETO PALCO,Wallet,1,1,Concierto,Febrero,Lunes,Noche,Junio,Martes,Noche
DESAYUNO EMPRESARIAL,5,PLATEA MEDIA,Wallet,0,0,Teatro,Febrero,Miércoles,Mañana,Noviembre,Jueves,Tarde
MOANA 2,4,FUNCIÓN 1,AppExterna,0,1,Teatro,Febrero,Jueves,Noche,Noviembre,Jueves,Mañana
ALZATE,5,INSCRIPCIÓN DIGITAL,Wallet,1,0,Teatro,Febrero,Jueves,Mañana,Septiembre,Lunes,Tarde
FESTIVAL DE LA CHICHA,3,SALA 2,Wallet,0,0,Talleres,Febrero,Domingo,Noche,Marzo,Martes,Tarde
JORGE GUZMAN VS BARCELONA,6,VIP,AppExterna,1,0,Talleres,Febrero,Sábado,Mañana,Abril,Miércoles,Noche
CAPACITACION FERIA,7,FUNCIÓN 1,PayPhone,0,1,Donación,Febrero,Jueves,Noche,Septiembre,Martes,Tarde
TARDE CLIPP,2,GOLDEN,PayPhone,1,0,Donación,Febrero,Miércoles,Mañana,Octubre,Jueves,Noche
28ava Asamblea Nacional,4,TRIBUNA SUR,AppExterna,0,0,Cine,Febrero,Lunes,Tarde,Septiembre,Sábado,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,3,PLATEA MEDIA,Wallet,0,0,Cine,Febrero,Lunes,Noche,Marzo,Jueves,Tarde
RALLY PROVINCIA DE LOJA,6,TRIBUNA SUR,Wallet,1,1,Cine,Febrero,Sábado,Tarde,Septiembre,Lunes,Tarde
Libertad Vs U Catolica,4,SALA 1 2D,PayPhone,0,0,Teatro,Febrero,Sábado,Tarde,Junio,Viernes,Tarde
Mujer de Piedra,3,PALCO,Wallet,0,1,Otro,Febrero,Domingo,Tarde,Abril,Sábado,Mañana
Los peces no vuelan,7,TRIBUNA SUR,Wallet,0,1,Cine,Febrero,Domingo,Tarde,Diciembre,Jueves,Tarde
Mujer de Piedra,5,BOLETO GENERAL,PayPhone,0,1,Cine,Febrero,Miércoles,Noche,Octubre,Lunes,Tarde
CAPACITACION FERIA,8,PREVENTA ,PayPhone,0,0,Ferias,Febrero,Jueves,Mañana,Septiembre,Martes,Mañana
FESTIVAL DE LA CHICHA,4,PREFERENCIA,PayPhone,1,1,Ferias,Febrero,Sábado,Noche,Diciembre,Domingo,Noche
CAPACITACION FERIA,6,GENERAL,AppExterna,0,0,Deporte,Febrero,Domingo,Tarde,Julio,Domingo,Tarde
