Show,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show,Cluster,Total Boletos Pred,TipoShow Pred
DESAYUNO EMPRESARIAL,PREVENTA ,Wallet,1,1,Febrero,Jueves,Noche,Diciembre,Lunes,Tarde,2,2,Deporte
San Juanes Santa Rosa del Tejar,Golden Box,PayPhone,0,1,Febrero,Jueves,Noche,Abril,Miércoles,Mañana,2,2,Deporte
JORGE GUZMAN VS BARCELONA,Adhesiones,PayPhone,1,0,Febrero,Miércoles,Mañana,Marzo,Lunes,Mañana,2,3,Deporte
FESTIVAL DE LA CHICHA,TRIBUNA NORTE,PayPhone,1,0,Febrero,Domingo,Noche,Mayo,Jueves,Tarde,2,2,Cine
LIBERTAD FC VS Emelec SC,Adhesiones,PayPhone,0,1,Febrero,Miércoles,Mañana,Septiembre,Domingo,Noche,3,3,Concierto
Los peces no vuelan,VENTA OFICIAL,Wallet,0,0,Febrero,Sábado,Noche,Junio,Domingo,Tarde,2,2,Cine
Ibarra Fight League,CORTESÍAS,Wallet,0,1,Febrero,Jueves,Mañana,Septiembre,Martes,Mañana,1,2,Talleres
Libertad Vs U Catolica,BOLETO PALCO,AppExterna,1,1,Febrero,Jueves,Noche,Agosto,Lunes,Tarde,2,2,Deporte
LIBERTAD FC VS Emelec SC,SALA 2,AppExterna,0,1,Febrero,Jueves,Mañana,Abril,Lunes,Noche,2,1,Concierto
MOANA 2,PLATEA MEDIA,PayPhone,0,1,Febrero,Lunes,Mañana,Diciembre,Miércoles,Noche,2,1,Cine
Libertad Vs U Catolica,Golden Box,Wallet,1,1,Febrero,Jueves,Noche,Diciembre,Miércoles,Tarde,2,2,Cine
MOANA 2,SALA 3,Wallet,1,1,Febrero,Miércoles,Tarde,Octubre,Viernes,Noche,2,2,Concierto
TARDE CLIPP,CORTESÍAS,PayPhone,0,1,Febrero,Miércoles,Tarde,Junio,Martes,Tarde,2,2,Cine
El viaje de la Santa,PALCO,AppExterna,0,0,Febrero,Jueves,Mañana,Diciembre,Sábado,Noche,2,2,Cine
DESAYUNO EMPRESARIAL,BOLETO PALCO,PayPhone,0,1,Febrero,Jueves,Mañana,Junio,Sábado,Noche,2,2,Cine
28ava Asamblea Nacional,Golden Box,PayPhone,0,0,Febrero,Domingo,Tarde,Marzo,Sábado,Noche,2,3,Concierto
MOANA 2,Golden Box,Wallet,0,0,Febrero,Lunes,Tarde,Diciembre,Domingo,Mañana,2,2,Talleres
DESAYUNO EMPRESARIAL,PLATEA BAJA,PayPhone,1,0,Febrero,Miércoles,Noche,Agosto,Viernes,Noche,2,2,Concierto
DESAYUNO EMPRESARIAL,PRESIDENTES,PayPhone,0,1,Febrero,Sábado,Noche,Diciembre,Domingo,Mañana,2,2,Talleres
ALZATE,PREVENTA ,Wallet,0,1,Febrero,Lunes,Mañana,Noviembre,Jueves,Tarde,0,2,Teatro
28ava Asamblea Nacional,FUNCIÓN 3,Wallet,0,0,Febrero,Domingo,Tarde,Mayo,Martes,Noche,2,2,Concierto
TARDE CLIPP,PALCO,PayPhone,1,1,Febrero,Miércoles,Tarde,Agosto,Miércoles,Mañana,2,2,Deporte
ALZATE,VENTA OFICIAL,PayPhone,0,1,Febrero,Lunes,Noche,Noviembre,Lunes,Noche,0,2,Teatro
MOANA 2,FUNCIÓN 2,PayPhone,0,0,Febrero,Miércoles,Tarde,Agosto,Domingo,Mañana,2,2,Deporte
San Juanes Santa Rosa del Tejar,FUNCIÓN 1,Wallet,1,0,Febrero,Miércoles,Noche,Marzo,Jueves,Mañana,2,3,Talleres
Mujer de Piedra,Golden Box,AppExterna,0,1,Febrero,Sábado,Tarde,Marzo,Sábado,Noche,3,3,Concierto
Libertad Vs U Catolica,SALA 1 3D,Wallet,0,1,Febrero,Miércoles,Mañana,Agosto,Sábado,Tarde,2,2,Deporte
Los peces no vuelan,PLATEA BAJA,PayPhone,0,1,Febrero,Sábado,Noche,Febrero,Viernes,Mañana,2,2,Ferias
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,SALA 1 3D,Wallet,0,0,Febrero,Sábado,Noche,Junio,Miércoles,Tarde,2,2,Teatro
RALLY PROVINCIA DE LOJA,GOLDEN,Wallet,1,0,Febrero,Lunes,Noche,Junio,Miércoles,Noche,2,2,Teatro
LIBERTAD FC VS Emelec SC,VIP,PayPhone,1,1,Febrero,Lunes,Mañana,Abril,Miércoles,Noche,2,2,Concierto
FESTIVAL DE LA CHICHA,GOLDEN,Wallet,0,0,Febrero,Sábado,Tarde,Marzo,Viernes,Mañana,2,2,Talleres
La Inocente,PLATEA BAJA,PayPhone,0,0,Febrero,Lunes,Tarde,Julio,Domingo,Noche,2,1,Cine
La Inocente,SALA 3,PayPhone,1,0,Febrero,Domingo,Tarde,Mayo,Miércoles,Mañana,2,2,Teatro
ALZATE,BOLETO GENERAL,PayPhone,1,1,Febrero,Miércoles,Tarde,Diciembre,Sábado,Tarde,2,2,Deporte
ALZATE,PRESIDENTES,Wallet,0,0,Febrero,Sábado,Mañana,Marzo,Domingo,Noche,2,1,Concierto
FESTIVAL DE LA CHICHA,VENTA OFICIAL,Wallet,1,0,Febrero,Sábado,Tarde,Diciembre,Domingo,Noche,2,1,Cine
A pebble falling on a silent lake,GOLDEN,Wallet,1,0,Febrero,Lunes,Tarde,Noviembre,Domingo,Noche,0,1,Teatro
A pebble falling on a silent lake,PLATEA BAJA,PayPhone,0,0,Febrero,Sábado,Tarde,Septiembre,Martes,Noche,3,2,Concierto
MOANA 2,PREVENTA ,PayPhone,0,0,Febrero,Lunes,Noche,Abril,Jueves,Tarde,2,2,Cine
FESTIVAL DE LA CHICHA,Golden Box,Wallet,0,0,Febrero,Domingo,Tarde,Diciembre,Miércoles,Tarde,2,1,Cine
TARDE CLIPP,TRIBUNA NORTE,AppExterna,1,1,Febrero,Sábado,Noche,Septiembre,Jueves,Mañana,2,2,Ferias
Ibarra Fight League,INSCRIPCIÓN DIGITAL,Wallet,1,0,Febrero,Jueves,Tarde,Diciembre,Viernes,Mañana,2,1,Talleres
La Inocente,Adhesiones,Wallet,0,0,Febrero,Jueves,Noche,Abril,Viernes,Tarde,2,2,Concierto
DESAYUNO EMPRESARIAL,CORTESÍAS,PayPhone,1,1,Febrero,Jueves,Mañana,Agosto,Lunes,Tarde,2,2,Deporte
El viaje de la Santa,GENERAL,PayPhone,1,0,Febrero,Miércoles,Noche,Febrero,Domingo,Tarde,2,2,Concierto
RALLY PROVINCIA DE LOJA,PREFERENCIA,AppExterna,0,1,Febrero,Domingo,Tarde,Mayo,Sábado,Mañana,2,3,Deporte
Ibarra Fight League,GOLDEN,Wallet,1,0,Febrero,Domingo,Mañana,Junio,Martes,Noche,2,2,Cine
El viaje de la Santa,SALA 2,Wallet,1,1,Febrero,Sábado,Mañana,Marzo,Domingo,Tarde,2,2,Concierto
RALLY PROVINCIA DE LOJA,PLATEA ALTA,Wallet,1,1,Febrero,Lunes,Tarde,Febrero,Viernes,Mañana,2,22,Talleres
El After de las Artes Vivas,TRIBUNA SUR,AppExterna,0,1,Febrero,Lunes,Tarde,Septiembre,Lunes,Tarde,3,2,Deporte
Mujer de Piedra,FUNCIÓN 1,Wallet,0,0,Febrero,Domingo,Noche,Junio,Lunes,Mañana,2,2,Talleres
Libertad Vs U Catolica,PLATEA BAJA,AppExterna,0,1,Febrero,Sábado,Tarde,Julio,Jueves,Tarde,2,2,Cine
RALLY PROVINCIA DE LOJA,INSCRIPCIÓN DIGITAL,Wallet,1,1,Febrero,Domingo,Noche,Octubre,Martes,Noche,2,2,Donación
DESAYUNO EMPRESARIAL,GOLDEN,Wallet,0,0,Febrero,Jueves,Mañana,Abril,Domingo,Mañana,2,2,Concierto
A pebble falling on a silent lake,FUNCIÓN 1,PayPhone,0,1,Febrero,Lunes,Noche,Marzo,Lunes,Tarde,2,2,Concierto
Los peces no vuelan,FUNCIÓN 3,PayPhone,1,0,Febrero,Miércoles,Tarde,Abril,Lunes,Noche,2,3,Deporte
Libertad Vs U Catolica,SILLAS DIGITAL,AppExterna,0,1,Febrero,Lunes,Mañana,Abril,Sábado,Noche,2,1,Concierto
ALZATE,SILLAS DIGITAL,AppExterna,1,1,Febrero,Domingo,Mañana,Febrero,Jueves,Noche,2,2,Cine
MOANA 2,BOLETO SOLIDARIO,Wallet,0,1,Febrero,Jueves,Tarde,Febrero,Lunes,Noche,2,2,Deporte
LIBERTAD FC VS Emelec SC,TRIBUNA SUR,Wallet,0,1,Febrero,Sábado,Mañana,Marzo,Viernes,Noche,2,2,Concierto
LIBERTAD FC VS Emelec SC,SALA 1 3D,AppExterna,1,0,Febrero,Lunes,Noche,Abril,Jueves,Noche,2,2,Cine
TARDE CLIPP,CORTESÍAS GOLDEN,PayPhone,1,0,Febrero,Domingo,Mañana,Febrero,Miércoles,Noche,2,2,Concierto
LIBERTAD FC VS Emelec SC,Golden Box,Wallet,0,0,Febrero,Miércoles,Tarde,Junio,Miércoles,Mañana,2,3,Teatro
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PLATEA MEDIA,AppExterna,0,1,Febrero,Sábado,Noche,Julio,Domingo,Noche,2,2,Cine
La Inocente,SALA 1 3D,Wallet,1,1,Febrero,Domingo,Mañana,Julio,Lunes,Mañana,2,4,Talleres
A pebble falling on a silent lake,PLATEA ALTA,PayPhone,1,1,Febrero,Lunes,Mañana,Abril,Sábado,Noche,2,2,Concierto
ALZATE,SALA 1 3D,AppExterna,1,1,Febrero,Miércoles,Noche,Octubre,Martes,Mañana,0,2,Teatro
A pebble falling on a silent lake,SALA 2,PayPhone,1,0,Febrero,Domingo,Mañana,Febrero,Lunes,Noche,2,2,Deporte
ALZATE,PLATINUM,AppExterna,1,0,Febrero,Miércoles,Mañana,Septiembre,Jueves,Mañana,2,2,Ferias
DESAYUNO EMPRESARIAL,TRIBUNA SUR,PayPhone,1,1,Febrero,Lunes,Mañana,Julio,Martes,Tarde,2,2,Cine
TARDE CLIPP,SALA 3,Wallet,0,1,Febrero,Jueves,Tarde,Junio,Miércoles,Mañana,2,5,Teatro
DESAYUNO EMPRESARIAL,SALA 1 2D,AppExterna,1,0,Febrero,Lunes,Mañana,Septiembre,Miércoles,Mañana,2,2,Talleres
RALLY PROVINCIA DE LOJA,PRESIDENTES,Wallet,1,1,Febrero,Lunes,Tarde,Diciembre,Lunes,Tarde,2,2,Deporte
Los peces no vuelan,GOLDEN,Wallet,1,1,Febrero,Domingo,Tarde,Septiembre,Sábado,Tarde,2,2,Concierto
A pebble falling on a silent lake,PLATEA ALTA,PayPhone,1,1,Febrero,Domingo,Noche,Noviembre,Lunes,Noche,2,2,Concierto
CAPACITACION FERIA,CORTESÍAS VIP,AppExterna,1,0,Febrero,Miércoles,Tarde,Diciembre,Domingo,Tarde,2,1,Cine
Libertad Vs U Catolica,CORTESÍAS,AppExterna,0,0,Febrero,Sábado,Noche,Mayo,Sábado,Tarde,2,2,Concierto
MOANA 2,PREVENTA ,Wallet,0,0,Febrero,Jueves,Tarde,Abril,Jueves,Mañana,2,2,Talleres
A pebble falling on a silent lake,FUNCIÓN 2,PayPhone,1,1,Febrero,Sábado,Tarde,Diciembre,Miércoles,Mañana,2,2,Teatro
El viaje de la Santa,INSCRIPCIÓN DIGITAL,PayPhone,0,0,Febrero,Sábado,Mañana,Julio,Domingo,Tarde,2,2,Cine
El viaje de la Santa,PLATEA BAJA,AppExterna,0,1,Febrero,Jueves,Mañana,Noviembre,Domingo,Noche,0,2,Teatro
28ava Asamblea Nacional,PLATINUM,PayPhone,0,0,Febrero,Sábado,Tarde,Septiembre,Miércoles,Tarde,2,2,Concierto
MOANA 2,SALA 2,PayPhone,1,1,Febrero,Miércoles,Noche,Octubre,Lunes,Mañana,2,2,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,TRIBUNA NORTE,PayPhone,1,1,Febrero,Domingo,Noche,Septiembre,Sábado,Noche,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,BOLETO SOLIDARIO,Wallet,0,0,Febrero,Miércoles,Tarde,Septiembre,Jueves,Mañana,2,3,Deporte
Los peces no vuelan,PREVENTA ,AppExterna,0,1,Febrero,Sábado,Mañana,Octubre,Martes,Noche,2,3,Concierto
CAPACITACION FERIA,BOLETO PALCO,AppExterna,1,0,Febrero,Lunes,Mañana,Noviembre,Martes,Mañana,0,2,Teatro
MOANA 2,PALCO,PayPhone,0,0,Febrero,Domingo,Mañana,Marzo,Martes,Tarde,2,2,Donación
TARDE CLIPP,FUNCIÓN 1,Wallet,0,1,Febrero,Miércoles,Tarde,Julio,Sábado,Mañana,2,2,Deporte
LIBERTAD FC VS Emelec SC,SALA 1 3D,PayPhone,0,1,Febrero,Domingo,Tarde,Junio,Sábado,Mañana,2,3,Deporte
San Juanes Santa Rosa del Tejar,Golden Box,Wallet,1,0,Febrero,Lunes,Noche,Febrero,Domingo,Mañana,2,2,Talleres
Ibarra Fight League,FUNCIÓN 3,AppExterna,0,0,Febrero,Sábado,Mañana,Octubre,Martes,Mañana,2,1,Deporte
TARDE CLIPP,Adhesiones,PayPhone,1,0,Febrero,Lunes,Mañana,Junio,Jueves,Tarde,2,2,Cine
El After de las Artes Vivas,PLATINUM,PayPhone,1,0,Febrero,Miércoles,Noche,Junio,Martes,Mañana,2,2,Talleres
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,BOLETO PALCO,PayPhone,0,1,Febrero,Sábado,Noche,Mayo,Sábado,Noche,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PREVENTA ,Wallet,1,0,Febrero,Jueves,Noche,Marzo,Domingo,Tarde,2,2,Concierto
DESAYUNO EMPRESARIAL,BOLETO GENERAL,Wallet,0,0,Febrero,Sábado,Noche,Julio,Lunes,Noche,2,2,Concierto
ALZATE,Golden Box,Wallet,0,1,Febrero,Domingo,Tarde,Julio,Lunes,Tarde,2,3,Cine
Libertad Vs U Catolica,CORTESÍAS GOLDEN,AppExterna,0,0,Febrero,Domingo,Mañana,Noviembre,Miércoles,Mañana,0,2,Teatro
Mujer de Piedra,INSCRIPCIÓN DIGITAL,Wallet,1,0,Febrero,Jueves,Noche,Marzo,Viernes,Tarde,2,2,Concierto
El viaje de la Santa,PLATINUM,PayPhone,0,1,Febrero,Lunes,Tarde,Agosto,Jueves,Noche,2,2,Cine
ALZATE,VIP,Wallet,1,0,Febrero,Lunes,Mañana,Mayo,Domingo,Noche,2,2,Concierto
Mujer de Piedra,PLATEA MEDIA,Wallet,0,0,Febrero,Sábado,Tarde,Febrero,Sábado,Mañana,2,2,Deporte
MOANA 2,PREVENTA ,Wallet,0,0,Febrero,Jueves,Tarde,Diciembre,Sábado,Mañana,2,2,Deporte
DESAYUNO EMPRESARIAL,FUNCIÓN 1,PayPhone,1,1,Febrero,Jueves,Noche,Julio,Jueves,Noche,2,2,Cine
San Juanes Santa Rosa del Tejar,TRIBUNA SUR,Wallet,0,1,Febrero,Miércoles,Noche,Mayo,Domingo,Mañana,2,6,Talleres
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,FUNCIÓN 2,AppExterna,1,0,Febrero,Domingo,Noche,Octubre,Viernes,Tarde,2,1,Concierto
Los peces no vuelan,PALCO,PayPhone,0,1,Febrero,Sábado,Mañana,Octubre,Martes,Tarde,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,FUNCIÓN 2,AppExterna,1,0,Febrero,Sábado,Mañana,Agosto,Lunes,Noche,2,2,Deporte
FESTIVAL DE LA CHICHA,VENTA OFICIAL,PayPhone,0,0,Febrero,Sábado,Tarde,Noviembre,Viernes,Tarde,2,2,Concierto
28ava Asamblea Nacional,Golden Box,PayPhone,1,0,Febrero,Domingo,Mañana,Marzo,Martes,Noche,2,2,Donación
DESAYUNO EMPRESARIAL,BOLETO SOLIDARIO,Wallet,0,1,Febrero,Miércoles,Noche,Noviembre,Jueves,Tarde,2,2,Cine
ALZATE,BOLETO SOLIDARIO,PayPhone,0,1,Febrero,Lunes,Noche,Agosto,Lunes,Mañana,2,2,Deporte
ALZATE,FUNCIÓN 2,Wallet,0,0,Febrero,Domingo,Mañana,Abril,Sábado,Tarde,2,2,Concierto
El viaje de la Santa,INSCRIPCIÓN DIGITAL,PayPhone,0,0,Febrero,Domingo,Mañana,Septiembre,Jueves,Noche,2,2,Concierto
Mujer de Piedra,SALA 1 3D,PayPhone,0,0,Febrero,Jueves,Noche,Abril,Miércoles,Mañana,2,2,Deporte
JORGE GUZMAN VS BARCELONA,SALA 1 3D,AppExterna,0,0,Febrero,Miércoles,Tarde,Abril,Miércoles,Tarde,2,2,Concierto
El After de las Artes Vivas,PREFERENCIA,AppExterna,1,0,Febrero,Domingo,Tarde,Diciembre,Sábado,Noche,2,2,Cine
LIBERTAD FC VS Emelec SC,PLATINUM,AppExterna,0,0,Febrero,Sábado,Noche,Diciembre,Domingo,Mañana,2,1,Talleres
El After de las Artes Vivas,GENERAL,AppExterna,0,0,Febrero,Sábado,Mañana,Septiembre,Viernes,Tarde,3,2,Concierto
28ava Asamblea Nacional,CORTESÍAS VIP,AppExterna,0,0,Febrero,Miércoles,Tarde,Marzo,Miércoles,Noche,2,2,Concierto
La Inocente,CORTESÍAS GOLDEN,PayPhone,1,0,Febrero,Domingo,Noche,Agosto,Martes,Tarde,2,2,Cine
LIBERTAD FC VS Emelec SC,SILLAS DIGITAL,Wallet,1,1,Febrero,Miércoles,Mañana,Octubre,Miércoles,Tarde,2,2,Concierto
Libertad Vs U Catolica,SALA 3,PayPhone,1,0,Febrero,Miércoles,Tarde,Mayo,Sábado,Tarde,2,2,Deporte
DESAYUNO EMPRESARIAL,PREVENTA ,Wallet,1,0,Febrero,Lunes,Noche,Agosto,Lunes,Noche,2,2,Deporte
A pebble falling on a silent lake,CORTESÍAS GOLDEN,Wallet,0,1,Febrero,Lunes,Noche,Agosto,Sábado,Noche,2,2,Concierto
TARDE CLIPP,VENTA OFICIAL,AppExterna,1,1,Febrero,Domingo,Tarde,Mayo,Viernes,Mañana,2,2,Talleres
RALLY PROVINCIA DE LOJA,FUNCIÓN 1,PayPhone,1,1,Febrero,Jueves,Tarde,Septiembre,Sábado,Noche,2,2,Concierto
MOANA 2,Adhesiones,Wallet,1,0,Febrero,Sábado,Tarde,Abril,Domingo,Mañana,2,2,Deporte
Libertad Vs U Catolica,BOLETO SOLIDARIO,Wallet,1,0,Febrero,Miércoles,Tarde,Junio,Lunes,Noche,2,2,Deporte
A pebble falling on a silent lake,CORTESÍAS,PayPhone,0,0,Febrero,Sábado,Noche,Junio,Viernes,Tarde,2,2,Cine
Libertad Vs U Catolica,BOLETO PALCO,PayPhone,1,1,Febrero,Lunes,Noche,Abril,Miércoles,Tarde,2,1,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,VIP,Wallet,1,0,Febrero,Jueves,Tarde,Junio,Sábado,Tarde,2,2,Cine
TARDE CLIPP,PALCO,PayPhone,1,0,Febrero,Miércoles,Tarde,Febrero,Viernes,Noche,2,2,Concierto
JORGE GUZMAN VS BARCELONA,Adhesiones,Wallet,1,1,Febrero,Sábado,Noche,Noviembre,Martes,Mañana,0,4,Teatro
JORGE GUZMAN VS BARCELONA,SALA 3,Wallet,1,0,Febrero,Sábado,Mañana,Marzo,Sábado,Mañana,2,2,Deporte
A pebble falling on a silent lake,PLATEA MEDIA,PayPhone,1,1,Febrero,Lunes,Noche,Abril,Viernes,Tarde,2,2,Concierto
La Inocente,SALA 3,Wallet,1,1,Febrero,Lunes,Mañana,Junio,Viernes,Mañana,2,22,Talleres
La Inocente,VENTA OFICIAL,PayPhone,1,1,Febrero,Domingo,Mañana,Mayo,Sábado,Tarde,2,2,Concierto
DESAYUNO EMPRESARIAL,CORTESÍAS VIP,PayPhone,1,0,Febrero,Miércoles,Noche,Febrero,Sábado,Noche,2,2,Concierto
Mujer de Piedra,CORTESÍAS GOLDEN,Wallet,0,1,Febrero,Jueves,Tarde,Octubre,Lunes,Noche,2,2,Concierto
ALZATE,Adhesiones,PayPhone,0,1,Febrero,Miércoles,Tarde,Diciembre,Viernes,Noche,2,2,Cine
28ava Asamblea Nacional,PREVENTA ,Wallet,1,0,Febrero,Jueves,Noche,Diciembre,Miércoles,Noche,2,2,Cine
Los peces no vuelan,PREFERENCIA,Wallet,0,0,Febrero,Domingo,Tarde,Marzo,Jueves,Noche,2,1,Cine
Ibarra Fight League,BOLETO GENERAL,AppExterna,0,1,Febrero,Jueves,Noche,Junio,Jueves,Tarde,2,2,Talleres
TARDE CLIPP,PLATEA ALTA,Wallet,1,0,Febrero,Lunes,Mañana,Julio,Martes,Noche,2,1,Cine
28ava Asamblea Nacional,SILLAS DIGITAL,AppExterna,1,1,Febrero,Sábado,Mañana,Febrero,Lunes,Tarde,2,2,Concierto
DESAYUNO EMPRESARIAL,BOLETO SOLIDARIO,PayPhone,0,0,Febrero,Miércoles,Mañana,Septiembre,Lunes,Tarde,2,2,Deporte
MOANA 2,SILLAS DIGITAL,PayPhone,1,1,Febrero,Jueves,Tarde,Junio,Domingo,Tarde,2,2,Cine
FESTIVAL DE LA CHICHA,BOLETO SOLIDARIO,PayPhone,1,1,Febrero,Jueves,Mañana,Abril,Miércoles,Noche,2,2,Concierto
La Inocente,PALCO,PayPhone,0,1,Febrero,Lunes,Noche,Noviembre,Domingo,Mañana,2,3,Talleres
MOANA 2,PREVENTA ,AppExterna,0,1,Febrero,Lunes,Mañana,Marzo,Domingo,Mañana,1,2,Talleres
28ava Asamblea Nacional,PALCO,PayPhone,0,0,Febrero,Jueves,Noche,Noviembre,Jueves,Mañana,2,2,Talleres
CAPACITACION FERIA,PREVENTA ,PayPhone,1,0,Febrero,Lunes,Tarde,Mayo,Miércoles,Noche,2,2,Concierto
ALZATE,TRIBUNA SUR,AppExterna,1,0,Febrero,Lunes,Noche,Febrero,Miércoles,Mañana,2,1,Teatro
MOANA 2,PALCO,AppExterna,1,0,Febrero,Sábado,Tarde,Diciembre,Viernes,Noche,2,1,Cine
San Juanes Santa Rosa del Tejar,SALA 1 2D,AppExterna,0,0,Febrero,Lunes,Noche,Noviembre,Martes,Noche,0,2,Teatro
RALLY PROVINCIA DE LOJA,FUNCIÓN 1,Wallet,0,0,Febrero,Domingo,Tarde,Septiembre,Martes,Mañana,1,1,Talleres
CAPACITACION FERIA,SALA 1 2D,AppExterna,0,0,Febrero,Domingo,Noche,Marzo,Viernes,Noche,2,2,Concierto
LIBERTAD FC VS Emelec SC,PLATINUM,Wallet,0,1,Febrero,Sábado,Noche,Abril,Martes,Tarde,2,2,Donación
Libertad Vs U Catolica,PALCO,Wallet,0,1,Febrero,Sábado,Mañana,Noviembre,Domingo,Mañana,0,9,Teatro
Libertad Vs U Catolica,FUNCIÓN 2,AppExterna,0,1,Febrero,Lunes,Mañana,Agosto,Viernes,Noche,2,2,Concierto
RALLY PROVINCIA DE LOJA,PLATEA ALTA,PayPhone,0,1,Febrero,Lunes,Mañana,Noviembre,Domingo,Mañana,2,4,Talleres
Libertad Vs U Catolica,CORTESÍAS GOLDEN,Wallet,0,0,Febrero,Lunes,Tarde,Febrero,Sábado,Noche,2,1,Concierto
El viaje de la Santa,Golden Box,PayPhone,0,1,Febrero,Miércoles,Noche,Septiembre,Sábado,Tarde,3,2,Concierto
El After de las Artes Vivas,PLATEA ALTA,AppExterna,1,0,Febrero,Sábado,Noche,Febrero,Sábado,Noche,0,2,Concierto
Los peces no vuelan,FUNCIÓN 2,AppExterna,1,1,Febrero,Miércoles,Noche,Marzo,Domingo,Noche,2,2,Concierto
LIBERTAD FC VS Emelec SC,FUNCIÓN 2,PayPhone,0,1,Febrero,Jueves,Noche,Agosto,Sábado,Mañana,2,2,Deporte
ALZATE,GOLDEN,AppExterna,0,0,Febrero,Domingo,Tarde,Octubre,Sábado,Mañana,2,2,Deporte
LIBERTAD FC VS Emelec SC,PLATEA BAJA,Wallet,0,1,Febrero,Sábado,Tarde,Octubre,Miércoles,Tarde,2,3,Teatro
CAPACITACION FERIA,INSCRIPCIÓN DIGITAL,PayPhone,0,0,Febrero,Domingo,Noche,Marzo,Lunes,Mañana,2,3,Deporte
San Juanes Santa Rosa del Tejar,BOLETO GENERAL,AppExterna,1,1,Febrero,Jueves,Mañana,Diciembre,Miércoles,Noche,2,2,Cine
El After de las Artes Vivas,PREFERENCIA,PayPhone,1,0,Febrero,Miércoles,Mañana,Junio,Lunes,Noche,2,2,Deporte
ALZATE,BOLETO GENERAL,AppExterna,0,0,Febrero,Jueves,Noche,Diciembre,Viernes,Noche,2,1,Cine
TARDE CLIPP,TRIBUNA NORTE,Wallet,0,0,Febrero,Jueves,Tarde,Octubre,Jueves,Tarde,2,2,Cine
La Inocente,VENTA OFICIAL,Wallet,0,0,Febrero,Lunes,Noche,Septiembre,Jueves,Noche,3,2,Concierto
ALZATE,CORTESÍAS GOLDEN,Wallet,1,1,Febrero,Lunes,Noche,Mayo,Jueves,Tarde,2,2,Talleres
Los peces no vuelan,SALA 1 2D,PayPhone,1,0,Febrero,Domingo,Noche,Julio,Jueves,Noche,2,2,Cine
JORGE GUZMAN VS BARCELONA,CORTESÍAS VIP,PayPhone,1,0,Febrero,Lunes,Noche,Mayo,Sábado,Mañana,2,2,Deporte
Ibarra Fight League,PLATEA BAJA,PayPhone,0,0,Febrero,Sábado,Tarde,Diciembre,Jueves,Noche,3,2,Cine
JORGE GUZMAN VS BARCELONA,PLATEA BAJA,PayPhone,0,1,Febrero,Sábado,Noche,Junio,Viernes,Noche,2,2,Cine
ALZATE,BOLETO PALCO,AppExterna,1,1,Febrero,Domingo,Mañana,Septiembre,Miércoles,Tarde,2,2,Concierto
28ava Asamblea Nacional,BOLETO SOLIDARIO,AppExterna,0,1,Febrero,Lunes,Tarde,Marzo,Domingo,Noche,2,2,Concierto
Mujer de Piedra,Golden Box,AppExterna,1,1,Febrero,Lunes,Noche,Diciembre,Jueves,Noche,2,2,Cine
DESAYUNO EMPRESARIAL,PLATINUM,PayPhone,0,0,Febrero,Lunes,Tarde,Junio,Martes,Tarde,2,2,Cine
RALLY PROVINCIA DE LOJA,BOLETO SOLIDARIO,PayPhone,0,1,Febrero,Domingo,Mañana,Abril,Viernes,Mañana,2,1,Deporte
ALZATE,GENERAL,AppExterna,0,0,Febrero,Lunes,Noche,Septiembre,Sábado,Mañana,3,2,Deporte
El After de las Artes Vivas,BOLETO SOLIDARIO,AppExterna,0,0,Febrero,Domingo,Tarde,Julio,Miércoles,Mañana,2,2,Teatro
Libertad Vs U Catolica,PREVENTA ,PayPhone,0,0,Febrero,Sábado,Noche,Diciembre,Miércoles,Mañana,2,2,Teatro
JORGE GUZMAN VS BARCELONA,VIP,PayPhone,0,1,Febrero,Domingo,Tarde,Diciembre,Jueves,Noche,2,2,Cine
FESTIVAL DE LA CHICHA,SILLAS DIGITAL,PayPhone,1,0,Febrero,Domingo,Tarde,Mayo,Viernes,Tarde,2,2,Concierto
CAPACITACION FERIA,SALA 3,PayPhone,0,0,Febrero,Domingo,Tarde,Abril,Lunes,Noche,2,2,Concierto
Mujer de Piedra,BOLETO GENERAL,PayPhone,1,0,Febrero,Sábado,Noche,Abril,Viernes,Mañana,2,1,Ferias
ALZATE,SILLAS DIGITAL,Wallet,1,0,Febrero,Miércoles,Tarde,Agosto,Jueves,Mañana,2,3,Ferias
FESTIVAL DE LA CHICHA,PLATEA BAJA,Wallet,0,0,Febrero,Domingo,Mañana,Julio,Sábado,Noche,2,2,Cine
TARDE CLIPP,PREFERENCIA,Wallet,1,1,Febrero,Jueves,Noche,Noviembre,Viernes,Noche,0,2,Concierto
